Title,Author,Average Goodreads Rating,Number of Pages
If You Ask Me (And of Course You Won't),Betty White,3.72,258
Bossypants,Tina Fey,3.95,283
"Just Like Heaven (Smythe-Smith Quartet, #1)",Julia Quinn,3.95,374
Hot Head (Head #1),Damon Suede,3.99,320
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,356
"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,4.27,512
"Eat Slay Love (Living With the Dead, #3)",Jesse Petersen,4.06,277
"The President's Vampire (Nathaniel Cade, #2)",Christopher Farnsworth,4.01,337
"My Life as a White Trash Zombie (White Trash Zombie, #1)",Diana Rowland,3.94,320
The Night Strangers,Chris Bohjalian,3.18,378
"Dreadfully Ever After (Pride and Prejudice and Zombies, #2)",Steve Hockensmith,3.75,287
"Deadline (Newsflesh, #2)",Mira Grant,4.10,584
"What the Night Knows (What the Night Knows, #1)",Dean Koontz,3.77,442
"Graveminder (Graveminder, #1)",Melissa Marr,3.49,324
Fuzzy Nation (Fuzzy Sapiens #7),John Scalzi,4.12,303
"Aftermath (Sirantha Jax, #5)",Ann Aguirre,4.02,307
"Phoenix Rising (Ministry of Peculiar Occurrences, #1)",Pip Ballantine,3.70,402
Embassytown,China Miéville,3.89,345
Basilisk (The Korsak Brothers #2),Rob Thurman,3.93,352
"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson,3.70,347
"Silver Shark (Kinsmen, #2)",Ilona Andrews,4.26,129
When She Woke,Hillary Jordan,3.67,344
"Heartless (Parasol Protectorate, #4)",Gail Carriger,4.05,400
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.80,336
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.01,579
Deathless,Catherynne M. Valente,3.98,352
Among Others,Jo Walton,3.70,304
"One of Our Thursdays Is Missing (Thursday Next, #6)",Jasper Fforde,3.97,362
"The Magician King (The Magicians, #2)",Lev Grossman,3.91,548
Don't Breathe a Word,Jennifer  McMahon,3.59,447
"Snuff (Discworld, #39; City Watch #8)",Terry Pratchett,4.15,378
"The Wild Rose (The Tea Rose, #3)",Jennifer Donnelly,4.12,623
22 Britannia Road,Amanda Hodgkinson,3.64,323
The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,3.70,424
Caleb's Crossing,Geraldine Brooks,3.83,306
The Second Duchess,Elizabeth Loupas,3.91,369
"Dreams of Joy (Shanghai Girls, #2)",Lisa See,4.08,354
Madame Tussaud: A Novel of the French Revolution,Michelle Moran,3.95,446
The Sisters Brothers,Patrick deWitt,3.84,328
The Dovekeepers,Alice Hoffman,4.05,504
Reamde,Neal Stephenson,3.98,1044
"A Red Herring Without Mustard (Flavia de Luce, #3)",Alan Bradley,4.05,416
Before I Go to Sleep,S.J. Watson,3.89,359
"New York to Dallas (In Death, #33)",J.D. Robb,4.44,14
"Smokin' Seventeen (Stephanie Plum, #17)",Janet Evanovich,3.97,308
Once Upon a River,Bonnie Jo Campbell,3.70,348
The Leftovers,Tom Perrotta,3.42,355
Maine,J. Courtney Sullivan,3.39,388
The Art of Fielding,Chad Harbach,3.98,512
The Marriage Plot,Jeffrey Eugenides,3.46,406
The Language of Flowers,Vanessa Diffenbaugh,4.09,323
The Tiger's Wife,Téa Obreht,3.41,338
The Lover's Dictionary,David Levithan,3.88,211
The Peach Keeper,Sarah Addison Allen,3.85,273
The Paris Wife,Paula McLain,3.82,314
"Delirium (Delirium, #1)",Lauren Oliver,3.96,441
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.06,398
"My Sister, the Serial Killer",Oyinkan Braithwaite,3.71,226
Queen Unseen: My Life with the Greatest Rock Band of the 20th Century,Peter Hince,3.67,323
Hotel Magnifique,Emily J. Taylor,3.85,400
Dial A for Aunties (Aunties #1),Jesse Q. Sutanto,3.78,299
"Red, White & Royal Blue",Casey McQuiston,4.18,448
Survive the Night,Riley Sager,3.51,324
The Lost Apothecary,Sarah Penner,3.76,301
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.30,391
The Paper Palace,Miranda Cowley Heller,3.88,400
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,374
"All Our Hidden Gifts (All Our Hidden Gifts, #1)",Caroline O'Donoghue,3.98,384
Quicksand of Memory,Michael J. Malone,4.55,300
The Power,Naomi Alderman,3.78,341
Butterflies in November,Auður Ava Ólafsdóttir,3.37,296
Islands of Abandonment,Cal Flyn,4.23,376
"Dopesick: Dealers, Doctors and the Drug Company that Addicted America",Beth Macy,4.09,
My Year of Rest and Relaxation,Ottessa Moshfegh,3.74,289
The Loop (The Loop Trilogy #1),Ben  Oliver,3.89,368
"Morning Star (Red Rising Saga, #3)",Pierce Brown,4.48,524
"Golden Son (Red Rising Saga, #2)",Pierce Brown,4.44,430
Luckenbooth,Jenni Fagan,3.46,352
For Your Own Good,Samantha  Downing,3.83,373
When the Stars Go Dark,Paula McLain,3.88,370
Billy Summers,Stephen King,4.25,515
Severance,Ling  Ma,3.91,291
Saint X,Alexis Schaitkin,3.45,343
The Grace Year,Kim Liggett,4.15,416
Akin,Emma Donoghue,3.69,352
Things We Didn't Talk About When I Was a Girl: A Memoir,Jeannie Vanasco,3.92,360
